Car Name,Car Webpage,Car Health,Price,Car Exterior Color,Car Interior Color,Miles,Fuel Type,Fuel Efficiency (mileage),EPA Range,Transmission,Drivetrain,Engine,Location,Listing Status,VIN,Stock Number,Accidents,Owners,Car Title Status,Use Type,Vehicle Last Inspected,Make,Model,Trim,Body Class,Model Year,Seating Capacity
2019 Toyota RAV4 Hybrid Limited AWD,https://www.truecar.com/used-cars-for-sale/listing/JTMDWRFVXKD010764/2019-toyota-rav4/,Used,"$27,846",Magnetic Gray Metallic,Black,"45,319 miles",Hybrid,41 city / 38 highway,,Automatic Transmission,AWD,2.5L Inline-4 Hybrid Inline,"Alpharetta, GA (1948 miles away)",Listed 37 days ago,JTMDWRFVXKD010764,A00355A,0,2,Clean Title,Personal,1/15/2025,TOYOTA,RAV4,Ltd 4WD HV / Ltd AWD HV (Canada),Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),2019,
"2014 Ram 1500 Big Horn Crew Cab 5'7"" Box 4WD",https://www.truecar.com/used-cars-for-sale/listing/1C6RR7LGXES262500/2014-ram-1500/,Used,"$11,000",Black Clearcoat,Diesel Gray/Black,"184,389 miles",Gas,16 city / 23 highway,,Automatic Transmission,4WD,3.6L V-6 Gas V,"Marietta, GA (1937 miles away)",Listed 16 days ago,1C6RR7LGXES262500,262500C,0,4,Clean Title,Fleet,2/5/2025,RAM,1500,SLT,Pickup,2014,
"2022 Ram 1500 Classic SLT 4x4 Crew Cab 5'7"" Box",https://www.truecar.com/used-cars-for-sale/listing/3C6RR7LGXNG301464/2022-ram-1500-classic/,Used,"$23,999",Diamond Black Crystal Pearlcoat,Diesel Gray/Black,"76,573 miles",Gas,16 city / 23 highway,,Automatic Transmission,4WD,3.6L V-6 Gas V,"Smyrna, GA (1937 miles away)",Listed 27 days ago,3C6RR7LGXNG301464,301464,0,1,Clean Title,Fleet,1/25/2025,RAM,1500,Crew Cab,Pickup,2022,
"2019 Ram 1500 Big Horn/Lone Star Crew Cab 5'7"" Box 4WD",https://www.truecar.com/used-cars-for-sale/listing/1C6SRFFT4KN762800/2019-ram-1500/,Used,"$30,501",Patriot Blue Pearlcoat,Black,"54,875 miles",Gas,19 city / 24 highway,,Automatic Transmission,4WD,5.7L V-8 Gas V,"Hardeeville, SC (2161 miles away)",Listed 20 days ago,1C6SRFFT4KN762800,KN762800,0,2,Clean Title,Personal,2/1/2025,RAM,1500,,Pickup,2019,
2022 Jeep Wagoneer Series II 4WD,https://www.truecar.com/used-cars-for-sale/listing/1C4SJVBT1NS216302/2022-jeep-wagoneer/,Used,"$41,500",Bright White Clearcoat,Global Black,"51,982 miles",Gas,15 city / 20 highway,,Automatic Transmission,4WD,5.7L V-8 Gas V,"Savannah, GA (2157 miles away)",Listed 90 days ago,1C4SJVBT1NS216302,17110P,0,1,Clean Title,Personal,2/6/2025,JEEP,Wagoneer,,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),2022,
2023 Chevrolet Silverado 1500 LT with 2FL Crew Cab Short Bed 4WD,https://www.truecar.com/used-cars-for-sale/listing/1GCPDKEK2PZ184291/2023-chevrolet-silverado-1500/,Used,"$37,998",Summit White,Jet Black,"23,571 miles",Gas,18 city / 21 highway,,Automatic Transmission,4WD,2.7L Inline-4 Gas Inline,"Kennesaw, GA (9 miles away)",Listed 6 days ago,1GCPDKEK2PZ184291,26907744,0,1,Clean Title,Fleet,2/11/2025,CHEVROLET,Silverado,LT-L,Pickup,2023,
2018 Jeep Grand Cherokee Overland RWD,https://www.truecar.com/used-cars-for-sale/listing/1C4RJECGXJC109981/2018-jeep-grand-cherokee/,Used,"$17,795",Bright White Clearcoat,Light Frost/Brown,"94,201 miles",Gas,19 city / 26 highway,,Automatic Transmission,RWD,3.6L V-6 Gas V,"Fort Worth, TX (1228 miles away)",Listed 1 day ago,1C4RJECGXJC109981,109981,0,1,Clean Title,Personal,2/20/2025,JEEP,Grand Cherokee,WK,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),2018,5
2015 Jeep Grand Cherokee Limited 4WD,https://www.truecar.com/used-cars-for-sale/listing/1C4RJFBGXFC759487/2015-jeep-grand-cherokee/,Used,"$8,995",Billet Silver Metallic Clearcoat,Black,"123,463 miles",Gas,17 city / 24 highway,,Automatic Transmission,4WD,3.6L V-6 Gas V,"Long Island City, NY (2464 miles away)",Listed 12 days ago,1C4RJFBGXFC759487,4951,0,3,Clean Title,Personal,2/9/2025,JEEP,Grand Cherokee,Limited,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),2015,
2018 Mercedes-Benz CLA 250 4MATIC,https://www.truecar.com/used-cars-for-sale/listing/WDDSJ4GB3JN610196/2018-mercedes-benz-cla/,Used,"$16,799",Night Black,Black,"58,376 miles",Gas,24 city / 32 highway,,Automatic Transmission,AWD,2.0L Inline-4 Gas Inline,"Marietta, GA (1939 miles away)",Listed 23 days ago,WDDSJ4GB3JN610196,610196,0,3,Clean Title,Fleet,1/29/2025,MERCEDES-BENZ,CLA-Class,,Sedan/Saloon,2018,5
2020 Land Rover Range Rover HSE V6 Supercharged SWB,https://www.truecar.com/used-cars-for-sale/listing/SALGS2RU0LA587463/2020-land-rover-range-rover/,Used,"$45,269",Santorini Black Metallic,Black,"34,143 miles",Gas,19 city / 24 highway,,Automatic Transmission,4WD,3.0L Inline-6 Gas Inline,"Marietta, GA (1938 miles away)",Listed 45 days ago,SALGS2RU0LA587463,587463,0,1,Clean Title,Personal,1/7/2025,LAND ROVER,Range Rover,HSE,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),2020,
