Car Name,Car Webpage,Car Health,Price,Exterior,Interior,Miles,Fuel Type,Fuel Efficiency (mileage),EPA Range,Transmission,Drivetrain,Engine,Location,Listing Status,VIN,Stock Number,Accidents,Owners,Car Title Status,Use Type,Vehicle Last Inspected
2014 Chevrolet Cruze LT with 1LT Automatic,https://www.truecar.com/used-cars-for-sale/listing/1G1PC5SB5E7225894/2014-chevrolet-cruze/,Used,"$4,999",Summit White,Medium Titanium,"132,514 miles",Gas,26 city / 38 highway,,Automatic Transmission,FWD,1.4L Inline-4 Gas Inline,"Newark, CA",Listed 14 days ago,1G1PC5SB5E7225894,225894,0,3,Clean Title,Personal,1/20/2025
2014 Subaru Outback 2.5i Limited Auto,https://www.truecar.com/used-cars-for-sale/listing/4S4BRBKC8E3215550/2014-subaru-outback/,Used,"$8,590",Ice Silver Metallic,Off Black,"133,789 miles",Gas,24 city / 30 highway,,Automatic Transmission,AWD,2.5L Flat-4 Gas Flat,"San Jose, CA",Listed 87 days ago,4S4BRBKC8E3215550,215550U,0,2,Clean Title,Personal,2/6/2025
2023 Chevrolet Bolt EV 1LT,https://www.truecar.com/used-cars-for-sale/listing/1G1FW6S03P4193278/2023-chevrolet-bolt-ev/,Used,"$12,980",Silver Flare Metallic,Jet Black,"38,835 miles",Electric,,259 mi,Automatic Transmission,FWD,L - Electric,"Watsonville, CA",Listed 15 days ago,1G1FW6S03P4193278,PP4193278,0,1,Clean Title,Rental,2/2/2025
2013 Mercedes-Benz C 250 Sport Sedan RWD,https://www.truecar.com/used-cars-for-sale/listing/WDDGF4HB7DA860087/2013-mercedes-benz-c-class/,Used,"$9,896",Palladium Silver Metallic,Black,"60,012 miles",Gas,21 city / 31 highway,,Automatic Transmission,RWD,1.8L Inline-4 Gas Inline,"Santa Clara, CA",Listed 6 days ago,WDDGF4HB7DA860087,DA860087,0,2,Clean Title,Personal,2/12/2025
2020 Hyundai Kona Electric Ultimate,https://www.truecar.com/used-cars-for-sale/listing/KM8K53AG4LU071671/2020-hyundai-kona-electric/,Used,"$18,995",Chalk White/Black Roof,Unknown,"39,216 miles",Electric,,258 mi,Automatic Transmission,FWD,L - Electric,"Santa Cruz, CA",Listed 13 days ago,KM8K53AG4LU071671,3942,0,2,Clean Title,Fleet,2/5/2025
2020 Chevrolet Camaro SS with 1SS Coupe,https://www.truecar.com/used-cars-for-sale/listing/1G1FE1R76L0128628/2020-chevrolet-camaro/,Used,"$31,745",Black,Jet Black,"13,639 miles",Gas,16 city / 24 highway,,Manual Transmission,RWD,6.2L V-8 Gas V,"Santa Clara, CA",Listed 18 days ago,1G1FE1R76L0128628,L0128628,0,2,Clean Title,Personal,1/24/2025
2008 Ford F-150 FX4 SuperCab 6.5' Box 4WD,https://www.truecar.com/used-cars-for-sale/listing/1FTPX14558FC05683/2008-ford-f-150/,Used,"$12,940",Blue,Gray,"74,858 miles",Gas,13 city / 17 highway,,Automatic Transmission,4WD,5.4L V-8 Gas V,"San Jose, CA",Listed 114 days ago,1FTPX14558FC05683,S1531,0,2,Clean Title,Personal,12/15/2024
2008 Toyota Camry Hybrid,https://www.truecar.com/used-cars-for-sale/listing/4T1BB46K58U031778/2008-toyota-camry/,Used,"$6,940",Magnetic Gray Metallic,Gray,"159,038 miles",Hybrid,33 city / 34 highway,,Automatic Transmission,FWD,2.4L Inline-4 Hybrid Inline,"San Jose, CA",Listed 114 days ago,4T1BB46K58U031778,S1513,0,1,Clean Title,Personal,1/29/2025
2013 Volkswagen Beetle Turbo Coupe DSG,https://www.truecar.com/used-cars-for-sale/listing/3VWV67AT7DM608541/2013-volkswagen-beetle/,Used,"$7,885",Gray,Black,"97,907 miles",Gas,22 city / 30 highway,,Automatic Transmission,FWD,2.0L Inline-4 Gas Inline,"Daly City, CA",Listed 5 days ago,3VWV67AT7DM608541,VW541,0,3,Clean Title,Fleet,2/13/2025
2022 Volvo XC90 Recharge Inscription 7-Passenger,https://www.truecar.com/used-cars-for-sale/listing/YV4BR0CL0N1792329/2022-volvo-xc90-recharge/,Used,"$33,338",Onyx Black Metallic,Midnight Zinc,"70,104 miles",Plug-In Hybrid,,,Automatic Transmission,AWD,2.0L Inline-4 Plug-In Hybrid Inline,"San Francisco, CA",Listed 62 days ago,YV4BR0CL0N1792329,N1792329T,0,1,Clean Title,Personal,12/8/2024
